time_step,changed_nodes,valid_nodes,transitional_nodes,non_compliant_nodes,unsafe_clusters,reconfigured,reconfiguration_count_step,reconfiguration_count_cumulative,moved_nodes,moved_nodes_cumulative,max_concentration_before,max_concentration_after,concentration_reduction_absolute,concentration_reduction_percent
59,2,22,14,64,10,1,1,59,66,4869,0.7,0.6666666666666666,0.033333333333333326,4.761904761904761
60,4,22,14,64,10,1,1,60,76,4945,0.6923076923076923,0.6666666666666666,0.02564102564102566,3.703703703703707
61,5,21,16,63,10,1,1,61,91,5036,0.7777777777777778,0.6666666666666666,0.11111111111111116,14.28571428571429
62,3,22,15,63,10,1,1,62,70,5106,0.6923076923076923,0.6666666666666666,0.02564102564102566,3.703703703703707
63,6,18,16,66,10,1,1,63,90,5196,0.7777777777777778,0.7,0.07777777777777783,10.000000000000007
64,6,21,11,68,10,1,1,64,88,5284,0.8333333333333334,0.7,0.13333333333333341,16.000000000000007
65,4,20,12,68,10,1,1,65,84,5368,0.8,0.7,0.10000000000000009,12.50000000000001
66,6,20,12,68,10,1,1,66,92,5460,0.8,0.7,0.10000000000000009,12.50000000000001
67,3,22,12,66,10,1,1,67,87,5547,0.7,0.6666666666666666,0.033333333333333326,4.761904761904761
68,4,23,11,66,10,1,1,68,80,5627,0.7777777777777778,0.6666666666666666,0.11111111111111116,14.28571428571429
69,4,21,14,65,10,1,1,69,84,5711,0.7777777777777778,0.6666666666666666,0.11111111111111116,14.28571428571429
70,4,23,12,65,10,1,1,70,80,5791,0.7272727272727273,0.6666666666666666,0.06060606060606066,8.333333333333341
71,6,28,11,61,10,1,1,71,93,5884,0.6923076923076923,0.6363636363636364,0.05594405594405594,8.08080808080808
72,5,28,8,64,10,1,1,72,83,5967,0.8181818181818182,0.7142857142857143,0.10389610389610393,12.698412698412701
73,4,26,10,64,10,1,1,73,88,6055,0.7272727272727273,0.6666666666666666,0.06060606060606066,8.333333333333341
74,5,24,12,64,10,1,1,74,92,6147,0.75,0.6666666666666666,0.08333333333333337,11.111111111111116
75,7,20,11,69,10,1,1,75,87,6234,0.75,0.7,0.050000000000000044,6.666666666666672
76,5,23,8,69,10,1,1,76,80,6314,0.8,0.75,0.050000000000000044,6.250000000000005
77,4,25,5,70,10,1,1,77,74,6388,0.7777777777777778,0.75,0.02777777777777779,3.5714285714285725
78,6,28,6,66,10,1,1,78,86,6474,0.75,0.7142857142857143,0.0357142857142857,4.761904761904759
79,8,25,8,67,10,1,1,79,88,6562,0.8571428571428571,0.7142857142857143,0.1428571428571428,16.66666666666666
80,3,24,9,67,10,1,1,80,91,6653,0.7777777777777778,0.7142857142857143,0.06349206349206349,8.16326530612245
81,5,28,6,66,10,1,1,81,89,6742,0.75,0.7142857142857143,0.0357142857142857,4.761904761904759
82,3,28,7,65,10,1,1,82,77,6819,0.7142857142857143,0.7142857142857143,0.0,0.0
83,3,28,8,64,10,1,1,83,89,6908,0.7272727272727273,0.6666666666666666,0.06060606060606066,8.333333333333341
84,3,27,8,65,10,1,1,84,88,6996,0.8181818181818182,0.7142857142857143,0.10389610389610393,12.698412698412701
85,4,27,9,64,10,1,1,85,41,7037,0.8571428571428571,0.7142857142857143,0.1428571428571428,16.66666666666666
86,6,25,12,63,10,1,1,86,88,7125,0.7272727272727273,0.6666666666666666,0.06060606060606066,8.333333333333341
87,5,23,13,64,10,1,1,87,81,7206,0.75,0.6666666666666666,0.08333333333333337,11.111111111111116
88,5,19,17,64,10,1,1,88,82,7288,0.7777777777777778,0.6666666666666666,0.11111111111111116,14.28571428571429
89,5,18,17,65,10,1,1,89,78,7366,0.7777777777777778,0.6666666666666666,0.11111111111111116,14.28571428571429
90,7,20,14,66,10,1,1,90,93,7459,0.7272727272727273,0.7,0.027272727272727337,3.750000000000009
91,2,18,15,67,10,1,1,91,89,7548,0.7272727272727273,0.7,0.027272727272727337,3.750000000000009
92,6,17,13,70,10,1,1,92,81,7629,0.8333333333333334,0.7272727272727273,0.10606060606060608,12.727272727272728
93,4,17,14,69,10,1,1,93,70,7699,0.8571428571428571,0.7272727272727273,0.1298701298701298,15.151515151515143
94,3,18,14,68,10,1,1,94,85,7784,0.8571428571428571,0.7,0.15714285714285714,18.333333333333336
95,4,18,15,67,10,1,1,95,91,7875,0.8333333333333334,0.7,0.13333333333333341,16.000000000000007
96,3,16,14,70,10,1,1,96,85,7960,0.8,0.7272727272727273,0.07272727272727275,9.090909090909093
97,7,19,12,69,10,1,1,97,82,8042,0.8571428571428571,0.7142857142857143,0.1428571428571428,16.66666666666666
98,3,18,14,68,10,1,1,98,80,8122,0.7142857142857143,0.7,0.014285714285714346,2.0000000000000084
99,5,18,15,67,10,1,1,99,69,8191,0.8,0.7,0.10000000000000009,12.50000000000001
100,4,18,15,67,10,1,1,100,50,8241,0.7272727272727273,0.7,0.027272727272727337,3.750000000000009
