scenario,run,seed,method,clusters,non_compliant_total,clusters_with_non_compliant,max_non_compliant_concentration,mean_non_compliant_concentration,average_non_compliant_per_cluster,cluster_size_std,cluster_size_range,clustering_time_sec
S2_80_10_10,43,20042,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005739170010201633
S2_80_10_10,44,20043,Baseline,10,10,6,0.3333333333333333,0.10262626262626262,1.0,0.816496580927726,2,0.00039420899702236056
S2_80_10_10,44,20043,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0007828750240150839
S2_80_10_10,45,20044,Baseline,10,10,7,0.2,0.09838383838383839,1.0,0.6666666666666666,2,0.0003933749976567924
S2_80_10_10,45,20044,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005703750066459179
S2_80_10_10,46,20045,Baseline,10,10,8,0.3,0.10318181818181818,1.0,1.1547005383792515,3,0.0003722500114236027
S2_80_10_10,46,20045,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0007757909770589322
S2_80_10_10,47,20046,Baseline,10,10,7,0.2,0.10040404040404041,1.0,0.6666666666666666,2,0.00035695897531695664
S2_80_10_10,47,20046,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005880829994566739
S2_80_10_10,48,20047,Baseline,10,10,6,0.2727272727272727,0.0994949494949495,1.0,0.6666666666666666,2,0.0005468750023283064
S2_80_10_10,48,20047,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.00829945900477469
S2_80_10_10,49,20048,Baseline,10,10,7,0.2222222222222222,0.10242424242424243,1.0,0.6666666666666666,2,0.0003870000073220581
S2_80_10_10,49,20048,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005615410045720637
S2_80_10_10,50,20049,Baseline,10,10,5,0.3,0.09818181818181818,1.0,0.9428090415820634,3,0.0003990410186816007
S2_80_10_10,50,20049,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0007964170072227716
