scenario,method,runs,nodes,valid_ratio,transitional_ratio,non_compliant_ratio,max_non_compliant_concentration_mean,max_non_compliant_concentration_median,max_non_compliant_concentration_std,max_non_compliant_concentration_min,max_non_compliant_concentration_max,mean_non_compliant_concentration_mean,mean_non_compliant_concentration_median,mean_non_compliant_concentration_std,mean_non_compliant_concentration_min,mean_non_compliant_concentration_max,clusters_with_non_compliant_mean,clusters_with_non_compliant_median,clusters_with_non_compliant_std,clusters_with_non_compliant_min,clusters_with_non_compliant_max,average_non_compliant_per_cluster_mean,average_non_compliant_per_cluster_median,average_non_compliant_per_cluster_std,average_non_compliant_per_cluster_min,average_non_compliant_per_cluster_max,cluster_size_std_mean,cluster_size_std_median,cluster_size_std_std,cluster_size_std_min,cluster_size_std_max,cluster_size_range_mean,cluster_size_range_median,cluster_size_range_std,cluster_size_range_min,cluster_size_range_max,clustering_time_sec_mean,clustering_time_sec_median,clustering_time_sec_std,clustering_time_sec_min,clustering_time_sec_max
S1_90_0_10,Baseline,50,100,0.9,0.0,0.1,0.2684191919191919,0.2727272727272727,0.05933944095477389,0.18181818181818182,0.4,0.10020314685314685,0.0996969696969697,0.002593413821005509,0.09545454545454546,0.1067929292929293,6.66,7.0,0.9391702807939201,5,8,1.0,1.0,0.0,1.0,1.0,0.863999684682282,0.816496580927726,0.19093424204913292,0.4714045207910317,1.3333333333333333,2.54,2.0,0.7342912729083655,2,4,0.0007367357809562236,0.00038308301009237766,0.001638379619633634,0.00035816701711155474,0.009027583000715822
S1_90_0_10,Security-Aware,50,100,0.9,0.0,0.1,0.11222222222222222,0.1111111111111111,0.003806215494692636,0.1111111111111111,0.125,0.10053030303030304,0.10047979797979799,0.0002279873782009336,0.10020202020202021,0.10123737373737374,10,10.0,0.0,10,10,1.0,1.0,0.0,1.0,1.0,0.7478960069367757,0.7415816237971964,0.16696030774388154,0.4714045207910317,1.1547005383792515,2.26,2.0,0.48697315854455175,2,4,0.0005392500176094472,0.0005412294849520549,2.5514604241516726e-05,0.0004844590148422867,0.0006495419947896153
S2_80_10_10,Baseline,50,100,0.8,0.1,0.1,0.2703030303030303,0.2727272727272727,0.07142696807563957,0.18181818181818182,0.5,0.10007878787878788,0.0996969696969697,0.002306211569535693,0.09363636363636364,0.10484848484848484,6.76,7.0,0.9595917499283809,5,9,1.0,1.0,0.0,1.0,1.0,0.7773168303275817,0.816496580927726,0.19107255083644129,0.4714045207910317,1.247219128924647,2.32,2.0,0.551065757771026,2,4,0.0006019092019414529,0.00039089599158614874,0.001213221868366294,0.00035695897531695664,0.008991708018584177
S2_80_10_10,Security-Aware,50,100,0.8,0.1,0.1,0.11199999999999999,0.1111111111111111,0.004178554470186726,0.1,0.125,0.10047272727272728,0.10040404040404041,0.00028013560513407446,0.1,0.10143939393939394,10,10.0,0.0,10,10,1.0,1.0,0.0,1.0,1.0,0.6885705060673475,0.6666666666666666,0.2163487787237593,0.0,1.247219128924647,2.16,2.0,0.5480950312357393,0,4,0.0009295192005811259,0.0005613539979094639,0.001579193962435496,0.0005306250241119415,0.008836583001539111
S3_70_20_10,Baseline,50,100,0.7,0.2,0.1,0.2615353535353535,0.25,0.06084560302067284,0.18181818181818182,0.4,0.09995050505050505,0.0994949494949495,0.0021325196060413346,0.09484848484848485,0.10464646464646464,7.02,7.0,0.9791708278967882,5,9,1.0,1.0,0.0,1.0,1.0,0.7939659810242143,0.816496580927726,0.19241931158896455,0.4714045207910317,1.4142135623730951,2.4,2.0,0.6388765649999399,2,5,0.00038228669785894453,0.00038187499740161,8.563946423888867e-06,0.00036445798468776047,0.0004032500146422535
S3_70_20_10,Security-Aware,50,100,0.7,0.2,0.1,0.11342857142857142,0.1111111111111111,0.008905590769175895,0.1,0.14285714285714285,0.10062327672327673,0.10047979797979799,0.0005133798601777815,0.1,0.10258408258408258,10,10.0,0.0,10,10,1.0,1.0,0.0,1.0,1.0,0.7738110477186149,0.7415816237971964,0.2716682654803703,0.0,1.632993161855452,2.32,2.0,1.0388376550113052,0,6,0.0008589107816806063,0.0006928539951331913,0.0011827651132940422,0.0005394580075517297,0.008999250014312565
S4_60_20_20,Baseline,50,100,0.6,0.2,0.2,0.4177020202020202,0.4,0.05827605254346348,0.3,0.5555555555555556,0.19978438228438228,0.19987373737373737,0.003606004452967747,0.18838383838383838,0.20727272727272728,8.98,9.0,0.7420325093268887,7,10,2.0,2.0,0.0,2.0,2.0,0.8735370674737506,0.8796528112548947,0.21623371859966167,0.4714045207910317,1.4907119849998598,2.62,2.5,0.7253429871306345,2,5,0.00038259586202912035,0.0003822290018433705,1.2471579740696416e-05,0.0003589999978430569,0.0004263340088073164
S4_60_20_20,Security-Aware,50,100,0.6,0.2,0.2,0.23483760683760682,0.2264957264957265,0.015400654468537337,0.2,0.25,0.19919053724053726,0.19957070707070707,0.0016084937360170309,0.195,0.2012121212121212,10,10.0,0.0,10,10,2.0,2.0,0.0,2.0,2.0,0.8643398355380834,0.8796528112548947,0.3803939118255801,0.0,1.7638342073763937,3.04,3.0,1.339509505112119,0,6,0.0008693425013916567,0.0006995409930823371,0.001200147430329159,0.0005344169912859797,0.009124917007284239
