w_nc,w_tr,run,seed,max_non_compliant_concentration,mean_non_compliant_concentration,cluster_size_std,cluster_size_range
0.5,0.0,1,6000,0.1111111111111111,0.10075757575757575,0.9428090415820634,3
0.5,0.0,2,6001,0.1111111111111111,0.10095959595959596,1.0540925533894598,3
0.5,0.0,3,6002,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.0,4,6003,0.1111111111111111,0.1008080808080808,0.9428090415820634,2
0.5,0.0,5,6004,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.0,6,6005,0.1111111111111111,0.10055555555555556,0.816496580927726,3
0.5,0.0,7,6006,0.1111111111111111,0.10075757575757575,0.9428090415820634,3
0.5,0.0,8,6007,0.1111111111111111,0.10095959595959596,1.0540925533894598,3
0.5,0.0,9,6008,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
0.5,0.0,10,6009,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
0.5,0.0,11,6010,0.125,0.10088383838383838,0.9428090415820634,3
0.5,0.0,12,6011,0.125,0.10108585858585858,1.0540925533894598,3
0.5,0.0,13,6012,0.1111111111111111,0.10075757575757575,0.9428090415820634,3
0.5,0.0,14,6013,0.1111111111111111,0.10075757575757575,0.9428090415820634,3
0.5,0.0,15,6014,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.0,16,6015,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.0,17,6016,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.0,18,6017,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.0,19,6018,0.1111111111111111,0.10095959595959596,1.0540925533894598,3
0.5,0.0,20,6019,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.0,21,6020,0.1111111111111111,0.10095959595959596,1.0540925533894598,3
0.5,0.0,22,6021,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
0.5,0.0,23,6022,0.1111111111111111,0.10116161616161616,1.1547005383792515,3
0.5,0.0,24,6023,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.0,25,6024,0.1111111111111111,0.1008080808080808,0.9428090415820634,2
0.5,0.0,26,6025,0.125,0.10171717171717172,1.3333333333333333,4
0.5,0.0,27,6026,0.1111111111111111,0.10055555555555556,0.816496580927726,3
0.5,0.0,28,6027,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.0,29,6028,0.1111111111111111,0.1008080808080808,0.9428090415820634,2
0.5,0.0,30,6029,0.1111111111111111,0.10116161616161616,1.1547005383792515,3
0.5,0.25,1,7000,0.1111111111111111,0.10075757575757575,0.9428090415820634,3
0.5,0.25,2,7001,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
0.5,0.25,3,7002,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,4,7003,0.1111111111111111,0.1008080808080808,0.9428090415820634,2
0.5,0.25,5,7004,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,6,7005,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,7,7006,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,8,7007,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
0.5,0.25,9,7008,0.125,0.1017074592074592,1.4142135623730951,5
0.5,0.25,10,7009,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.25,11,7010,0.1111111111111111,0.10055555555555556,0.816496580927726,3
0.5,0.25,12,7011,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.25,13,7012,0.16666666666666666,0.09595959595959597,1.3333333333333333,5
0.5,0.25,14,7013,0.1111111111111111,0.10075757575757575,0.9428090415820634,3
0.5,0.25,15,7014,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,16,7015,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.25,17,7016,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,18,7017,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
0.5,0.25,19,7018,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,20,7019,0.16666666666666666,0.09722222222222222,1.247219128924647,4
0.5,0.25,21,7020,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,22,7021,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.25,23,7022,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.25,24,7023,0.1111111111111111,0.10095959595959596,1.0540925533894598,3
0.5,0.25,25,7024,0.1111111111111111,0.10116161616161616,1.1547005383792515,3
0.5,0.25,26,7025,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,27,7026,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,28,7027,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.25,29,7028,0.125,0.10138888888888889,1.247219128924647,4
0.5,0.25,30,7029,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.5,1,8000,0.16666666666666666,0.09742424242424243,1.3333333333333333,4
0.5,0.5,2,8001,0.15384615384615385,0.0968997668997669,1.4142135623730951,5
0.5,0.5,3,8002,0.16666666666666666,0.09742424242424243,1.3333333333333333,4
0.5,0.5,4,8003,0.16666666666666666,0.09707070707070707,1.1547005383792515,4
0.5,0.5,5,8004,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.5,6,8005,0.15384615384615385,0.0968997668997669,1.4142135623730951,5
0.5,0.5,7,8006,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.5,8,8007,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
0.5,0.5,9,8008,0.16666666666666666,0.09707070707070707,1.1547005383792515,4
0.5,0.5,10,8009,0.16666666666666666,0.09595959595959597,1.3333333333333333,5
0.5,0.5,11,8010,0.16666666666666666,0.09707070707070707,1.1547005383792515,4
0.5,0.5,12,8011,0.18181818181818182,0.09747474747474748,0.9428090415820634,3
0.5,0.5,13,8012,0.16666666666666666,0.09707070707070707,1.1547005383792515,4
0.5,0.5,14,8013,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
0.5,0.5,15,8014,0.16666666666666666,0.09707070707070707,1.1547005383792515,4
0.5,0.5,16,8015,0.1111111111111111,0.1006060606060606,0.816496580927726,2
0.5,0.5,17,8016,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.5,18,8017,0.16666666666666666,0.0975,1.3333333333333333,4
0.5,0.5,19,8018,0.16666666666666666,0.09707070707070707,1.1547005383792515,4
0.5,0.5,20,8019,0.16666666666666666,0.09686868686868687,1.0540925533894598,4
0.5,0.5,21,8020,0.16666666666666666,0.09464646464646465,1.3333333333333333,4
0.5,0.5,22,8021,0.16666666666666666,0.09686868686868687,1.0540925533894598,4
0.5,0.5,23,8022,0.15384615384615385,0.0964957264957265,1.247219128924647,5
0.5,0.5,24,8023,0.16666666666666666,0.09686868686868687,1.0540925533894598,4
0.5,0.5,25,8024,0.15384615384615385,0.0966977466977467,1.3333333333333333,5
0.5,0.5,26,8025,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
0.5,0.5,27,8026,0.16666666666666666,0.09686868686868687,1.0540925533894598,4
0.5,0.5,28,8027,0.15384615384615385,0.0966977466977467,1.3333333333333333,5
