w_nc,w_tr,runs,max_concentration_mean,max_concentration_std,mean_concentration_mean,cluster_size_std_mean,cluster_size_range_mean
0.5,0.0,30,0.11249999999999999,0.004237896897630067,0.10072895622895622,0.8800618573163516,2.533333333333333
0.5,0.25,30,0.11574074074074074,0.01428241969753834,0.10033216783216783,0.8247409444090378,2.5
0.5,0.5,30,0.1507252007252007,0.02515360569304998,0.09781073556073556,1.0445515974656379,3.6
0.5,1.0,30,0.16767676767676767,0.0038440626015524646,0.0931010101010101,1.320104913515218,3.933333333333333
0.5,2.0,30,0.2668654956154956,0.0485214718255022,0.08291687479187479,1.9447626777720488,5.733333333333333
1.0,0.0,30,0.11296296296296296,0.004802026439468897,0.10062626262626263,0.8165043189548071,2.3333333333333335
1.0,0.25,30,0.1112962962962963,0.004667153170529612,0.10051851851851852,0.7110451301840657,2.1333333333333333
1.0,0.5,30,0.11226190476190476,0.006655147801437061,0.10053310578310579,0.7241970293627645,2.2333333333333334
1.0,1.0,30,0.14094017094017094,0.02761746115417101,0.09824993524993525,0.9294114560476714,3.2333333333333334
1.0,2.0,30,0.17738095238095236,0.022620127880175776,0.09273809523809524,1.3882705520258558,4.333333333333333
2.0,0.0,30,0.1149074074074074,0.00701528364544742,0.10072643097643098,0.8478955333390117,2.6
2.0,0.25,30,0.11166666666666666,0.004152273992686998,0.10050725200725201,0.7152865365903005,2.2333333333333334
2.0,0.5,30,0.11074074074074074,0.0020286020648339464,0.10047474747474748,0.7009613643816212,2
2.0,1.0,30,0.1112037037037037,0.003301519102000061,0.1004424371924372,0.6732937043701193,2.1333333333333333
2.0,2.0,30,0.14606837606837605,0.02636023464850113,0.09782905982905983,0.9816876638120511,3.4
3.0,0.0,30,0.11388888888888889,0.005650529196840089,0.10062457912457913,0.8083360589708223,2.4
3.0,0.25,30,0.11203703703703703,0.003523724051423091,0.10048368298368299,0.7082005951777375,2.1333333333333333
3.0,0.5,30,0.1112037037037037,0.003301519102000061,0.10048284123284124,0.7055045875430788,2.1333333333333333
3.0,1.0,30,0.1111111111111111,0.0,0.10043097643097644,0.6751559392369003,2.1333333333333333
3.0,2.0,30,0.11786731786731787,0.015473621770173644,0.09997865097865098,0.7825414760694829,2.533333333333333
4.0,0.0,30,0.11388888888888889,0.005650529196840089,0.1007070707070707,0.8611123095053465,2.466666666666667
4.0,0.25,30,0.11203703703703703,0.003523724051423091,0.10046632996632997,0.7010341893327401,2.2666666666666666
4.0,0.5,30,0.1111111111111111,0.0,0.10043097643097644,0.676773627125002,2
4.0,1.0,30,0.11428571428571428,0.009686621480297291,0.10068161468161468,0.8210638908451623,2.5
4.0,2.0,30,0.11285714285714285,0.008402830080762912,0.10053487253487253,0.7145348675279611,2.2
