network_size,runs,baseline_max_mean,baseline_max_sd,baseline_max_ci95_low,baseline_max_ci95_high,security_max_mean,security_max_sd,security_max_ci95_low,security_max_ci95_high,relative_reduction_mean_percent,relative_reduction_sd_percent,relative_reduction_ci95_low,relative_reduction_ci95_high,baseline_cluster_size_std_mean,security_cluster_size_std_mean,baseline_time_mean_sec,security_time_mean_sec,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
50,30,0.3007142857142857,0.09586238328075554,0.26641037241808946,0.33501819901048197,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,38.70370370370371,20.215070381437336,31.46983367138475,45.937573736022664,0.6665240025542516,0.9205399998480145,3.741943510249257e-05,0.00012289177005489667,7.658990129340905,1.9128540124429935e-08,378.0,2.1470467027864076e-06
100,30,0.2769781144781145,0.06624863937318073,0.2532713433414867,0.30068488561474227,0.11203703703703703,0.003523724051423091,0.11077608857943692,0.11329798549463714,57.42283950617284,9.577260627794988,53.995660805339234,60.85001820700645,0.8204680551319371,0.6959136113862903,7.873749903713664e-05,0.0002772333313866208,13.71984884426314,3.2755880448641896e-14,465.0,7.961022224751607e-07
250,30,0.26623404917522564,0.03625921542815176,0.2532588555730328,0.2792092427774185,0.125,0.0,0.125,0.125,52.125,7.129959791496197,49.57357665622057,54.67642334377943,0.9813063884703208,1.3644791100180242,0.00026442923214441784,0.0009984847323115293,21.33445903548281,2.8311632759962144e-19,465.0,7.961022224751607e-07
500,30,0.231335560574691,0.030709865330323622,0.22034617640150647,0.24232494474787555,0.13577075098814229,0.0018090627072887215,0.135123386212363,0.13641811576392157,40.317476002258616,7.93685688752443,37.477308240973535,43.157643763543696,1.237947972609068,1.5810138887415124,0.0007028069347143173,0.002723862568382174,17.13044812117152,1.0425813176247511e-16,465.0,8.234096551809497e-07
1000,30,0.21922458777726886,0.02939381070947976,0.2087061477018778,0.22974302785265993,0.12193001443001443,0.0035377942949274058,0.1206640310004398,0.12319599785958905,43.44288763485192,7.542371143192406,40.74388478421295,46.14189048549089,1.4417949066206768,1.820026909838326,0.001842465333174914,0.007323205530216607,18.215926378471533,2.0325120279490534e-17,465.0,8.639301574362053e-07
