network_size,run,seed,clusters,baseline_max_concentration,security_max_concentration,absolute_difference,relative_reduction_percent,baseline_cluster_size_std,security_cluster_size_std,baseline_time_sec,security_time_sec
50,1,90000,8,0.2,0.16666666666666666,0.033333333333333354,16.66666666666668,0.7071067811865476,0.7071067811865476,5.958302062936127e-05,0.00015783400158397853
50,2,90001,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.7071067811865476,0.7071067811865476,4.558300133794546e-05,0.00013995799235999584
50,3,90002,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.4629100498862757,0.7071067811865476,4.22910088673234e-05,0.00013233302161097527
50,4,90003,8,0.5,0.16666666666666666,0.33333333333333337,66.66666666666667,1.0350983390135313,0.7071067811865476,4.012498538941145e-05,0.00012795801740139723
50,5,90004,8,0.2,0.16666666666666666,0.033333333333333354,16.66666666666668,0.7071067811865476,0.7071067811865476,4.008397809229791e-05,0.00013170900638215244
50,6,90005,8,0.5,0.16666666666666666,0.33333333333333337,66.66666666666667,0.7071067811865476,0.7071067811865476,3.9709004340693355e-05,0.00013800000306218863
50,7,90006,8,0.16666666666666666,0.16666666666666666,0.0,0.0,0.4629100498862757,0.7071067811865476,4.016701132059097e-05,0.00012891701771877706
50,8,90007,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.4629100498862757,1.4880476182856899,3.7290999898687005e-05,0.00012137499288655818
50,9,90008,8,0.5,0.16666666666666666,0.33333333333333337,66.66666666666667,0.7071067811865476,1.2817398889233116,3.7667021388188004e-05,0.00012358400272205472
50,10,90009,8,0.2857142857142857,0.16666666666666666,0.11904761904761904,41.66666666666667,0.7071067811865476,0.7071067811865476,3.795800148509443e-05,0.00012224999954923987
50,11,90010,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.4629100498862757,1.0350983390135313,3.7999998312443495e-05,0.00012445799075067043
50,12,90011,8,0.2857142857142857,0.16666666666666666,0.11904761904761904,41.66666666666667,0.7071067811865476,0.7071067811865476,3.616700996644795e-05,0.00011683400953188539
50,13,90012,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.8864052604279183,1.2817398889233116,3.5874982131645083e-05,0.00012000001152046025
50,14,90013,8,0.16666666666666666,0.16666666666666666,0.0,0.0,0.4629100498862757,1.2817398889233116,3.595798625610769e-05,0.0001161250111181289
50,15,90014,8,0.2,0.16666666666666666,0.033333333333333354,16.66666666666668,0.8864052604279183,1.4880476182856899,3.616700996644795e-05,0.0001170419855043292
50,16,90015,8,0.2,0.16666666666666666,0.033333333333333354,16.66666666666668,0.7071067811865476,1.0350983390135313,3.600001218728721e-05,0.00011608301429077983
50,17,90016,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.7071067811865476,0.7071067811865476,3.583298530429602e-05,0.00011258301674388349
50,18,90017,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.7071067811865476,1.0350983390135313,3.500000457279384e-05,0.00011120899580419064
50,19,90018,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.4629100498862757,0.7071067811865476,3.429199568927288e-05,0.00011387499398551881
50,20,90019,8,0.16666666666666666,0.16666666666666666,0.0,0.0,0.4629100498862757,1.0350983390135313,3.700001980178058e-05,0.00012670899741351604
50,21,90020,8,0.42857142857142855,0.16666666666666666,0.26190476190476186,61.11111111111111,0.7071067811865476,0.7071067811865476,3.675001789815724e-05,0.00012675000471062958
50,22,90021,8,0.2857142857142857,0.16666666666666666,0.11904761904761904,41.66666666666667,0.7071067811865476,0.7071067811865476,3.3625023206695914e-05,0.00011787499533966184
50,23,90022,8,0.2,0.16666666666666666,0.033333333333333354,16.66666666666668,0.8864052604279183,0.7071067811865476,3.4042022889479995e-05,0.00011916601215489209
50,24,90023,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.4629100498862757,0.7071067811865476,3.341698902659118e-05,0.00011741698835976422
50,25,90024,8,0.25,0.16666666666666666,0.08333333333333334,33.333333333333336,0.8864052604279183,1.2817398889233116,3.3958989661186934e-05,0.00011745799565687776
50,26,90025,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.4629100498862757,1.0350983390135313,3.362499410286546e-05,0.00011762502253986895
50,27,90026,8,0.2,0.16666666666666666,0.033333333333333354,16.66666666666668,0.7071067811865476,0.7071067811865476,3.379097324796021e-05,0.00011820899089798331
